Aaron
Abaz
Abdija
Abdo
Abdula
Abdulah
Abdullah
Abdurahman
Abdurrahman
Abedin
Abel
Abid
Abidin
Aca
Ace
Aco
Adalbert
Adam
Adan
Adel
Adem
Ademir
Adi
Adian
Adijan
Adil
Adin
Adis
Admin
Admir
Adnan
Adnel
Adnen
Ado
Adolf
Adonis
Adrian
Adriano
Adriatik
Adrijan
Adrijano
Advan
Afet
Afrim
Agan
Agim
Ago
Agon
Agron
Ahac
Ahmed
Ahmedin
Ahmet
Ahmo
Aid
Aidan
Ajan
Ajas
Ajdan
Ajdin
Ajet
Ajhan
Ajiz
Ajlan
Ajman
Ajnur
Aki
Akif
Akija
Al
Aladar
Aladin
Alaga
Alain
Alajdin
Alan
Alban
Albert
Alberto
Albian
Albin
Albino
Albion
Aldijan
Aldin
Aldo
Ale
Alec
Alej
Alejandro
Alek
Aleks
Aleksa
Aleksandar
Aleksander
Aleksander Sandi
Aleksander Saša
Aleksander Sašo
Aleksandr
Aleksandro
Aleksej
Aleksij
Aleksije
Alem
Alen
Ales
Alessandro
Alessio
Aleš
Alex
Alexandar
Alexander
Alexandr
Alexandru
Alexei
Alexej
Alexey
Alfio
Alfons
Alfonz
Alfred
Alfredo
Ali
Alija
Alil
Alim
Alin
Alis
Alit
Aljan
Aljaš
Aljaž
Alji
Aljo
Aljoš
Aljoša
Allan
Allen
Alli
Almaz
Almedin
Almin
Almir
Alois
Alojz
Alojz Andrej
Alojz Franc
Alojz Ivan
Alojz Janez
Alojz Marjan
Alojz Slavko
Alojz Stanislav
Alojzij
Alojzij Anton
Alojzij Franc
Alojzij Janez
Alojzij Slavko
Alojzij Stanislav
Alojzija
Alojzije
Altin
Alton
Alush
Aluš
Alvedin
Alvin
Alvir
Amadei
Amadej
Amadeo
Amadeus
Amal
Amar
Ambrož
Amdija
Amel
Amer
Amet
Amil
Amin
Amir
Amit
Ammar
Amon
Amor
Amos
Amrush
An
Anadin
Anai
Anaj
Anan
Anastazij
Anatoliy
Anče
Andi
Andjelko
Andon
Andor
Andraž
Andre
Andrea
Andreas
Andrei
Andrej
Andrej Ivan
Andrej Janez
Andrej Martin
Andrej Stanislav
Andreja
Andrejas
Andrejček
Andres
Andrew
Andrey
Andrija
Andrijan
Andriy
Andro
André
Andy
Anei
Anej
Anel
Anes
Aney
Angel
Angelcho
Angelko
Angelo
Angjelko
Anid
Anis
Antal
Ante
Anthony
Anto
Anton
Anton Alojz
Anton Alojzij
Anton Andrej
Anton Franc
Anton Ivan
Anton Janez
Anton Jože
Anton Jožef
Anton Marijan
Anton Marjan
Anton Marko
Anton Martin
Anton Mihael
Anton Milan
Anton Pavel
Anton Peter
Anton Stanislav
Anton Zvonimir
Anton Zvonko
Antonije
Antonijo
Antonin
Antonino
Antonio
Antun
Anže
Anžej
Anđelko
Anđelo
Arafat
Arben
Arber
Arbnor
Ardi
Ardian
Ardijan
Ardit
Argjend
Argjent
Arian
Arianit
Ariel
Arif
Arijan
Arion
Aris
Arjan
Arjanit
Arlind
Arman
Armand
Armando
Armel
Armen
Armend
Arment
Armin
Arne
Arnej
Arnel
Arnes
Arno
Arnold
Aron
Arpad
Arsen
Arsenije
Arsim
Arslan
Art
Artan
Arthur
Arti
Arton
Artur
Asad
Asan
Asen
Asif
Asim
Asip
Aslan
Asllan
Asman
Asmir
Astrit
Ašim
Atanas
Atif
Atila
Atilij
Atilio
Atko
Atnan
Atso
Attila
August
Augustin
Auguštin
Aulon
Aurelio
Avdi
Avdija
Avdo
Avdul
Avdula
Avdulah
Avdulla
Avdullah
Avdyl
Avgust
Avgustin
Avguštin
Avmed
Avni
Avnija
Avrelij
Azem
Azer
Azim
Azis
Aziz
Azmir
Azrudin
Azur
Ažbe
Aydin
Ađul
Bafti
Bahri
Bahrija
Bahrudin
Bahtir
Bajram
Bajro
Bajrush
Baki
Bakir
Balazs
Baldomir
Bali
Baltazar
Bal?Zs
Balázs
Bane
Bardhyl
Bare
Bart
Bartol
Bartolomej
Bashkim
Basri
Bastian
Bastjan
Baškim
Bazilij
Beat
Bedri
Bedžet
Began
Bego
Behadin
Behar
Behram
Behxhet
Bejadin
Bejtula
Bekim
Bekir
Bekri
Bela
Belmin
Ben
Benedikt
Benet
Beni
Benito
Benjamin
Beno
Berat
Berin
Berislav
Beriz
Bernad
Bernard
Bernardo
Bernd
Bernhard
Bert
Berti
Berto
Bertold
Berzat
Besar
Besart
Besim
Besir
Besjan
Besmir
Besnik
Bešir
Betim
Bexhet
Bećir
Beqir
Bećo
Bian
Bilal
Binak
Bine
Bislim
Bjan
Bjorn
Blago
Blagoj
Blagoja
Blagojche
Blagojcho
Blagojče
Blagojčo
Blagoje
Blagomir
